param_name,param_value,accuracy,precision,recall,f1,auc,dataset,algorithm
C,0.001,0.8509,0.5468,0.1449,0.2291,0.8102,diabetes,logistic_regression
C,0.01,0.8506,0.5404,0.1524,0.2378,0.8102,diabetes,logistic_regression
C,0.1,0.8506,0.5403,0.1539,0.2395,0.8102,diabetes,logistic_regression
C,1.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
C,10.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
C,100.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
penalty,L1,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
penalty,L2,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
C,0.001,0.8509,0.5468,0.1449,0.2291,0.8102,diabetes,logistic_regression
C,0.01,0.8506,0.5404,0.1524,0.2378,0.8102,diabetes,logistic_regression
C,0.1,0.8506,0.5403,0.1539,0.2395,0.8102,diabetes,logistic_regression
C,1.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
C,10.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
C,100.0,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
penalty,L1,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
penalty,L2,0.8506,0.5399,0.1542,0.2398,0.8102,diabetes,logistic_regression
k,1,0.7814,,,,,diabetes,knn
k,3,0.8192,,,,,diabetes,knn
k,5,0.8322,,,,,diabetes,knn
k,7,0.838,,,,,diabetes,knn
k,9,0.8413,,,,,diabetes,knn
k,11,0.843,,,,,diabetes,knn
k,15,0.8456,,,,,diabetes,knn
k,20,0.8489,,,,,diabetes,knn
k,25,0.8492,,,,,diabetes,knn
k,30,0.85,,,,,diabetes,knn
k,50,0.8507,,,,,diabetes,knn
weights,uniform,0.8322,,,,,diabetes,knn
weights,distance,0.8244,,,,,diabetes,knn
metric,euclidean,0.8322,,,,,diabetes,knn
metric,manhattan,0.832,,,,,diabetes,knn
k,1,0.7814,,,,,diabetes,knn
k,3,0.8192,,,,,diabetes,knn
k,5,0.8322,,,,,diabetes,knn
k,7,0.838,,,,,diabetes,knn
k,9,0.8413,,,,,diabetes,knn
k,11,0.843,,,,,diabetes,knn
k,15,0.8456,,,,,diabetes,knn
k,20,0.8489,,,,,diabetes,knn
k,25,0.8492,,,,,diabetes,knn
k,30,0.85,,,,,diabetes,knn
k,50,0.8507,,,,,diabetes,knn
weights,uniform,0.8322,,,,,diabetes,knn
weights,distance,0.8244,,,,,diabetes,knn
metric,euclidean,0.8322,,,,,diabetes,knn
metric,manhattan,0.832,,,,,diabetes,knn
max_depth,1,0.8471,0.0,0.0,0.0,0.6759,diabetes,decision_tree
max_depth,2,0.8471,0.0,0.0,0.0,0.7354,diabetes,decision_tree
max_depth,3,0.8471,0.0,0.0,0.0,0.7598,diabetes,decision_tree
max_depth,5,0.8522,0.6044,0.0969,0.167,0.7942,diabetes,decision_tree
max_depth,7,0.8522,0.6241,0.0849,0.1495,0.8039,diabetes,decision_tree
max_depth,10,0.8511,0.551,0.144,0.2284,0.7992,diabetes,decision_tree
max_depth,15,0.8297,0.3979,0.2218,0.2849,0.7149,diabetes,decision_tree
max_depth,20,0.7988,0.3196,0.2792,0.2981,0.6281,diabetes,decision_tree
max_depth,,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
min_samples_split,2,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
min_samples_split,5,0.7943,0.3098,0.2808,0.2946,0.6114,diabetes,decision_tree
min_samples_split,10,0.8092,0.3462,0.2787,0.3088,0.6515,diabetes,decision_tree
min_samples_split,20,0.8254,0.3915,0.2559,0.3095,0.6965,diabetes,decision_tree
min_samples_split,50,0.8385,0.4457,0.2299,0.3034,0.7461,diabetes,decision_tree
min_samples_split,100,0.8471,0.5,0.2029,0.2886,0.7753,diabetes,decision_tree
min_samples_leaf,1,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
min_samples_leaf,2,0.8059,0.3301,0.2613,0.2917,0.6184,diabetes,decision_tree
min_samples_leaf,5,0.8208,0.3802,0.2727,0.3176,0.6773,diabetes,decision_tree
min_samples_leaf,10,0.8351,0.4249,0.2208,0.2906,0.7238,diabetes,decision_tree
min_samples_leaf,20,0.8421,0.4643,0.2119,0.2909,0.7637,diabetes,decision_tree
min_samples_leaf,50,0.8492,0.5216,0.1685,0.2548,0.7907,diabetes,decision_tree
criterion,gini,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
criterion,entropy,0.7784,0.2931,0.318,0.305,0.5897,diabetes,decision_tree
criterion,log_loss,0.7784,0.2931,0.318,0.305,0.5897,diabetes,decision_tree
max_depth,1,0.8471,0.0,0.0,0.0,0.6759,diabetes,decision_tree
max_depth,2,0.8471,0.0,0.0,0.0,0.7354,diabetes,decision_tree
max_depth,3,0.8471,0.0,0.0,0.0,0.7598,diabetes,decision_tree
max_depth,5,0.8522,0.6044,0.0969,0.167,0.7942,diabetes,decision_tree
max_depth,7,0.8522,0.6241,0.0849,0.1495,0.8039,diabetes,decision_tree
max_depth,10,0.8511,0.551,0.144,0.2284,0.7992,diabetes,decision_tree
max_depth,15,0.8297,0.3979,0.2218,0.2849,0.7149,diabetes,decision_tree
max_depth,20,0.7988,0.3196,0.2792,0.2981,0.6281,diabetes,decision_tree
max_depth,,0.7737,0.2868,0.3226,0.3036,0.5887,diabetes,decision_tree
